pgs_id,reported_trait,category
PGS001135,Arthritis (nos),"Bone, Joint & Muscle Health"
PGS019692,Arthropathy NOS,"Bone, Joint & Muscle Health"
PGS019693,Arthropathy NOS,"Bone, Joint & Muscle Health"
PGS019694,Arthropathy NOS,"Bone, Joint & Muscle Health"
PGS019695,Arthropathy NOS,"Bone, Joint & Muscle Health"
PGS019696,Arthropathy NOS,"Bone, Joint & Muscle Health"
PGS019180,ASCVD,Cardiovascular & Cholesterol
PGS019181,ASCVD,Cardiovascular & Cholesterol
PGS019182,ASCVD,Cardiovascular & Cholesterol
PGS019183,ASCVD,Cardiovascular & Cholesterol
PGS019184,ASCVD,Cardiovascular & Cholesterol
PGS001941,Aspartate aminotransferase level,Digestive & Liver Health
PGS002159,Aspartate aminotransferase level,Digestive & Liver Health
PGS003343,Aspartate aminotransferase level,Digestive & Liver Health
PGS003352,Aspartate aminotransferase level,Digestive & Liver Health
PGS003523,Aspartate aminotransferase level,Digestive & Liver Health
PGS004719,Aspartate aminotransferase level,Digestive & Liver Health
PGS004720,Aspartate aminotransferase level,Digestive & Liver Health
PGS004721,Aspartate aminotransferase level,Digestive & Liver Health
PGS004722,Aspartate aminotransferase level,Digestive & Liver Health
PGS004330,Aspartate aminotransferase (U/L),Digestive & Liver Health
PGS000673,Aspartate aminotransferase [U/L],Digestive & Liver Health
PGS000037,Asthma,Lung & Respiratory
PGS000799,Asthma,Lung & Respiratory
PGS001341,Asthma,Lung & Respiratory
PGS001782,Asthma,Lung & Respiratory
PGS001787,Asthma,Lung & Respiratory
PGS001849,Asthma,Lung & Respiratory
PGS002061,Asthma,Lung & Respiratory
PGS002311,Asthma,Lung & Respiratory
PGS002358,Asthma,Lung & Respiratory
PGS002383,Asthma,Lung & Respiratory
PGS002432,Asthma,Lung & Respiratory
PGS002481,Asthma,Lung & Respiratory
PGS002530,Asthma,Lung & Respiratory
PGS002579,Asthma,Lung & Respiratory
PGS002628,Asthma,Lung & Respiratory
PGS002677,Asthma,Lung & Respiratory
PGS002727,Asthma,Lung & Respiratory
PGS002754,Asthma,Lung & Respiratory
PGS004176,Asthma,Lung & Respiratory
PGS004252,Asthma,Lung & Respiratory
PGS004275,Asthma,Lung & Respiratory
PGS004276,Asthma,Lung & Respiratory
PGS004277,Asthma,Lung & Respiratory
PGS004278,Asthma,Lung & Respiratory
PGS004279,Asthma,Lung & Respiratory
PGS004439,Asthma,Lung & Respiratory
PGS004509,Asthma,Lung & Respiratory
PGS004723,Asthma,Lung & Respiratory
PGS004724,Asthma,Lung & Respiratory
PGS004725,Asthma,Lung & Respiratory
PGS004726,Asthma,Lung & Respiratory
PGS004877,Asthma,Lung & Respiratory
PGS005121,Asthma,Lung & Respiratory
PGS005122,Asthma,Lung & Respiratory
PGS005123,Asthma,Lung & Respiratory
PGS005124,Asthma,Lung & Respiratory
PGS005125,Asthma,Lung & Respiratory
PGS005126,Asthma,Lung & Respiratory
PGS005127,Asthma,Lung & Respiratory
PGS005128,Asthma,Lung & Respiratory
PGS005129,Asthma,Lung & Respiratory
PGS005130,Asthma,Lung & Respiratory
PGS005131,Asthma,Lung & Respiratory
PGS005132,Asthma,Lung & Respiratory
PGS005133,Asthma,Lung & Respiratory
PGS005134,Asthma,Lung & Respiratory
PGS005135,Asthma,Lung & Respiratory
PGS005136,Asthma,Lung & Respiratory
PGS005137,Asthma,Lung & Respiratory
PGS005138,Asthma,Lung & Respiratory
PGS005139,Asthma,Lung & Respiratory
PGS005140,Asthma,Lung & Respiratory
PGS005141,Asthma,Lung & Respiratory
PGS005148,Asthma,Lung & Respiratory
PGS012541,Asthma,Lung & Respiratory
PGS001343,Asthma (algorithmically-defined),Lung & Respiratory
PGS001344,Asthma (diagnosed by doctor),Lung & Respiratory
PGS001345,Asthma (diagnosed by doctor),Lung & Respiratory
PGS001346,Asthma (time-to-event),Lung & Respiratory
PGS000674,AST to ALT ratio,Digestive & Liver Health
PGS019778,Atopic contact dermatitis due to other or unspecified,Immune & Autoimmune
PGS019779,Atopic contact dermatitis due to other or unspecified,Immune & Autoimmune
PGS019780,Atopic contact dermatitis due to other or unspecified,Immune & Autoimmune
PGS019781,Atopic contact dermatitis due to other or unspecified,Immune & Autoimmune
PGS019782,Atopic contact dermatitis due to other or unspecified,Immune & Autoimmune
PGS002755,Atopic dermatitis,Immune & Autoimmune
PGS004587,Atopic dermatitis,Immune & Autoimmune
PGS004903,Atopic dermatitis,Immune & Autoimmune
PGS003486,Atopic eczema,Immune & Autoimmune
PGS003459,Atopic eczema or atopic disease,Immune & Autoimmune
PGS000016,Atrial fibrillation,Cardiovascular & Cholesterol
PGS000035,Atrial fibrillation,Cardiovascular & Cholesterol
PGS000331,Atrial fibrillation,Cardiovascular & Cholesterol
PGS000338,Atrial fibrillation,Cardiovascular & Cholesterol
PGS000727,Atrial fibrillation,Cardiovascular & Cholesterol
PGS001340,Atrial fibrillation,Cardiovascular & Cholesterol
PGS001356,Atrial fibrillation,Cardiovascular & Cholesterol
PGS002756,Atrial fibrillation,Cardiovascular & Cholesterol
PGS002814,Atrial fibrillation,Cardiovascular & Cholesterol
PGS003461,Atrial fibrillation,Cardiovascular & Cholesterol
PGS003761,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004186,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004187,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004188,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004189,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004190,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004290,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004291,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004292,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004293,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004294,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004440,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004510,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004878,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004905,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004920,Atrial fibrillation,Cardiovascular & Cholesterol
PGS004929,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005159,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005168,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005171,Atrial fibrillation,Cardiovascular & Cholesterol
